,Shannon,Faith_PD,Obs_SVs,Pielou
475_CL,5.003280834,5.677933451,164,0.680019772
476_CC,5.908228238,5.899970041,180,0.788620407
476_CL,5.297876424,6.2886174,172,0.713397192
478_CC,5.659107401,5.689195474,159,0.773854502
478_CL,5.514561739,5.916114608,175,0.740089316
481_CC,5.580809935,5.085206049,130,0.794719115
481_CL,4.99569613,4.914463798,123,0.719580222
482_CC,5.196923849,4.813236493,131,0.738889705
482_CL,3.480569735,4.93860388,116,0.507521053
484_CC,5.612877683,5.501294521,151,0.775430207
484_CL,4.335306368,5.045828276,124,0.623408684
485_CC,5.95259247,5.892151443,163,0.810016692
485_CL,4.790954443,5.362952114,132,0.680108802
489_CC,5.550641646,4.784987983,120,0.803638275
489_CL,4.685243426,4.730721732,122,0.676009376
495_CC,5.854444562,5.50265113,146,0.814268069
495_CL,5.465418019,5.284168413,146,0.760160137
500_CC,5.724359813,5.715278771,163,0.778959256
500_CL,5.096163888,5.647270902,164,0.692643951
505_CC,5.62526002,5.613802362,160,0.76827578
505_CL,5.913800498,5.128599058,159,0.808682504
509_CC,6.118984217,5.631986348,175,0.821206664
509_CL,5.921277232,5.901446264,183,0.787854406
510_CC,5.438552301,5.113917987,143,0.759587993
510_CL,4.873594855,5.208250403,147,0.676918979
515_CC,5.581504597,5.681855076,163,0.759519808
515_CL,5.065354277,5.170530579,157,0.694395837
517_CC,5.87420026,5.742594213,169,0.793716518
517_CL,5.407382771,5.495890779,164,0.734943194
518_CC,5.757857572,6.122680987,177,0.771044685
518_CL,5.763160996,5.624524923,163,0.784239242
519_CC,5.681526962,5.77715619,167,0.769468377
519_CL,4.689136949,5.091442169,141,0.656783139
521_CC,5.79713508,5.543449786,174,0.778876675
521_CL,5.110073572,5.553593045,162,0.696209537
522_CC,5.810539129,5.10887518,144,0.81040445
522_CL,5.025437957,5.403401702,153,0.692458232
524_CC,5.550378829,5.455855904,138,0.78080604
524_CL,4.543554055,5.522263302,154,0.625249418
528_CC,5.151830221,5.478978816,158,0.705364851
528_CL,4.458343336,5.403266063,147,0.619242533
532_CC,5.647271472,5.593945796,169,0.76305411
532_CL,5.633900658,5.686171301,167,0.763018186
534_CC,5.379552814,5.951153728,172,0.724395506
534_CL,4.95036256,5.574613769,156,0.679490632
535_CC,5.917014317,5.421044883,156,0.812174008
535_CL,4.662238413,5.237965776,135,0.658804564
536_CC,5.652194958,5.57275123,157,0.774844252
536_CL,5.149397847,5.686230202,171,0.69418984
538_CC,5.502557882,6.031466847,171,0.741799311
538_CL,4.752161117,4.870168461,120,0.688031908
541_CC,5.579337156,5.43911726,160,0.762003817
541_CL,5.151552452,4.999622406,134,0.729052848
542_CC,5.87000888,5.882541284,173,0.789549753
542_CL,5.595149123,5.641146943,161,0.763226376
547_CC,6.087571938,5.919174156,180,0.812558904
547_CL,4.874512359,5.431703735,153,0.6716621
548_CC,5.812778597,5.782249098,169,0.78541728
548_CL,5.71758766,5.925239954,176,0.766491062
549_CC,5.764067665,5.583177723,153,0.794234481
549_CL,5.468724163,5.948177493,173,0.735574664
553_CC,5.660333501,5.947350328,177,0.757985068
553_CL,4.556184079,5.930472214,164,0.619252718
555_CC,5.607721309,6.00908024,178,0.75012323
555_CL,5.270341679,5.000781314,129,0.751700307
562_CC,6.067014536,5.600770718,154,0.834896484
562_CL,4.841251908,5.267183885,148,0.671514422
564_CC,5.538128313,5.630848758,154,0.762115177
564_CL,5.560594577,5.685918387,161,0.758512839
568_CC,6.069735608,6.05580665,174,0.815502041
568_CL,5.087378625,5.582711014,161,0.693962121
571_CC,5.702041205,5.880671965,171,0.768691639
571_CL,4.873890665,5.321326182,149,0.675131859
572_CC,5.93693142,5.71852723,173,0.798551217
572_CL,5.181907524,5.716895193,156,0.711272675
573_CC,6.113568907,5.612258669,180,0.816028935
573_CL,5.494711802,5.611239204,169,0.742440388
577_CC,5.969647248,5.951236391,190,0.788607809
577_CL,4.864689192,5.110353014,131,0.691653153
578_CC,5.822426258,5.189889737,162,0.793262295
578_CL,5.338876646,4.973247186,153,0.735647145
579_CC,5.912722372,5.901364607,174,0.794406457
579_CL,5.284328314,5.683222165,162,0.71995045
580_CC,5.676852224,5.760673351,168,0.767939456
580_CL,5.339919765,5.536959582,148,0.74068303
584_CC,5.78509609,5.68490315,171,0.77988826
584_CL,5.32317816,5.6807104,156,0.730663593
590_CC,6.118981014,5.813253822,179,0.817628493
590_CL,4.485445696,5.214060523,146,0.623860243
592_CC,6.082023894,5.565440255,153,0.838045868
592_CL,5.592617859,5.052019227,123,0.805560846
