,Shannon,Faith_PD,Obs_SVs,Pielou
456_IL,2.513826552,5.293298363,64,0.418971092
459_IC,1.145752089,3.22397745,23,0.253285376
459_IL,1.467659443,3.158065461,23,0.324447738
461_IC,1.019778365,3.564847569,26,0.216953823
461_IL,1.992967585,4.466295386,40,0.374482246
463_IC,1.440119655,3.405491018,29,0.296444069
463_IL,1.73498,4.573904354,40,0.326005908
464_IC,2.396248235,4.815639435,59,0.407342111
464_IL,2.582232975,3.890051241,40,0.485206288
465_IC,3.11000979,5.314334708,65,0.516409805
465_IL,2.66660508,4.524067211,60,0.451439727
466_IC,2.564381227,5.005035012,69,0.41980371
466_IL,5.162943636,7.117360806,122,0.744934252
471_IC,2.253932788,3.967284608,39,0.426444894
471_IL,0.875805093,3.805097571,35,0.170746104
472_IC,1.947358055,3.599321046,43,0.358876344
472_IL,2.893397347,4.534357182,51,0.510081169
475_IC,1.552867719,2.882593633,17,0.379909929
475_IL,1.068064197,2.780603162,16,0.267016049
476_IC,2.534701537,4.57090235,52,0.444650178
476_IL,4.405499638,6.755658989,103,0.658864771
478_IC,1.443170107,3.722507163,36,0.279147204
478_IL,3.78873839,5.856666921,81,0.597606945
481_IC,3.33029353,4.621833358,59,0.56612198
481_IL,4.020470971,5.105153274,71,0.653761999
482_IC,3.021878986,4.403264734,58,0.515856741
482_IL,3.122454909,4.718554769,52,0.547756851
484_IC,2.925958887,4.883690448,55,0.506102203
484_IL,3.888037262,4.8126417,57,0.666571331
485_IC,0.570441372,3.445799795,23,0.126104468
485_IL,0.472992608,3.229715013,19,0.111346676
489_IC,2.348324358,4.167243012,53,0.409978521
489_IL,3.544289131,4.576037894,67,0.5842791
495_IC,0.780304306,4.044620265,35,0.152127364
495_IL,0.959789619,4.00054287,39,0.181592541
500_IC,1.267172165,2.784104736,15,0.324342884
500_IL,2.832119302,5.670414366,74,0.456098007
505_IC,3.305318747,4.086263287,55,0.57171996
505_IL,0.596366668,3.963252429,35,0.116267062
509_IC,3.293819857,4.097913003,56,0.567180739
509_IL,2.556484269,4.709765815,57,0.438287755
510_IC,1.852908438,3.787438424,38,0.35307432
510_IL,0.869407096,4.543857041,43,0.160222019
515_IC,0.582098431,3.036534675,18,0.13959446
515_IL,0.827754683,3.346942063,23,0.182987365
517_IC,2.428876264,4.29875491,48,0.434895716
517_IL,2.598972708,4.185807141,50,0.460495913
518_IC,2.164019513,4.190993242,49,0.385419652
518_IL,4.854794715,6.27806529,114,0.710503858
519_IC,2.154121651,4.334862013,48,0.385700289
519_IL,2.863076135,6.588912395,93,0.437835541
521_IC,3.280948664,4.556949496,65,0.544793803
521_IL,3.703627166,6.424518354,104,0.552743898
522_IC,6.112311915,7.365428835,143,0.853690189
522_IL,2.983736065,4.666036184,61,0.503096984
524_IC,1.399133412,3.568200814,24,0.305157002
524_IL,0.440098208,3.41770286,29,0.090592822
528_IC,1.279334917,3.576189693,34,0.251468159
528_IL,3.15847445,6.215061687,87,0.49022228
532_IC,1.336572879,4.891248312,48,0.239316357
532_IL,3.97131753,5.797006517,75,0.637571541
534_IC,1.931320014,3.390847136,35,0.376528261
534_IL,5.100547297,6.966568213,121,0.737194409
535_IC,2.299242604,4.400641101,51,0.405336777
535_IL,2.221112838,4.875736552,61,0.374508718
536_IC,2.642491524,3.686664196,39,0.499960346
536_IL,3.192419192,4.738819922,54,0.554731816
538_IC,2.523048457,4.389676661,54,0.43841838
538_IL,2.827060464,3.907459786,44,0.517830547
541_IC,1.140885125,2.455241843,12,0.318241858
541_IL,1.580654948,3.496244908,26,0.336278102
542_IC,3.066015761,4.472711074,59,0.521196975
542_IL,3.555590709,6.075337525,82,0.559270409
547_IC,2.17505818,3.424322395,31,0.439033507
547_IL,3.626156521,4.076425395,48,0.649271418
548_IC,2.818675593,3.920380442,47,0.507449906
548_IL,2.880687805,5.304890166,68,0.473216491
549_IC,2.431215686,4.60537755,59,0.413286284
549_IL,3.129957075,6.640035679,84,0.489643562
553_IC,2.544597887,4.153106109,45,0.463340487
553_IL,3.424569003,4.60918569,57,0.587113591
555_IC,3.010346816,4.972722278,64,0.501724469
555_IL,2.564950828,5.023997804,61,0.432484307
562_IC,2.724765502,5.186306941,65,0.452440898
562_IL,3.104125857,5.575566171,80,0.491009358
564_IC,2.202299942,3.829619107,36,0.425982957
564_IL,3.507988489,6.62431232,106,0.521407545
568_IC,2.827523983,3.825524066,41,0.527764169
568_IL,1.846574587,5.41789802,71,0.300268377
571_IC,3.381438726,4.044903031,43,0.623161397
571_IL,1.347353091,3.859018439,36,0.260613663
572_IC,4.598916469,7.146319979,121,0.664692495
572_IL,4.275147812,6.868974841,121,0.61789743
573_IC,1.99036011,3.848831822,39,0.376576848
573_IL,2.729428972,4.763420794,54,0.474280161
577_IC,3.67832133,4.183151474,40,0.69116329
577_IL,3.625520054,3.86809239,35,0.706827844
578_IC,2.416992384,3.807650991,40,0.454157279
578_IL,1.7673333,4.800013602,42,0.327750235
579_IC,3.742549348,4.593772053,69,0.612676494
579_IL,4.438225726,6.181261258,85,0.692456705
580_IC,2.79570636,4.778051632,55,0.483572464
580_IL,3.332225401,4.24602371,45,0.606757927
584_IC,3.987424631,4.218016421,60,0.675046298
584_IL,1.152980078,4.013646748,41,0.215206512
590_IC,3.064636376,4.411006014,35,0.59747851
590_IL,2.633030103,4.219218748,44,0.482290152
592_IC,5.590810764,7.723260079,149,0.774439708
592_IL,3.739102303,4.846320084,59,0.635616044
